 INTERNATIONAL REACTOR DOSIMETRY FILE IRDF-2002 SPECTRA, IAEA-NDS 2002 0  0    0
 2.000000+0 0.000000+0         -1          0         34          0   2 1451    1
 0.000000+0 0.000000+0          0          0          0          6   2 1451    2
 1.000000+0 1.800000+7          0          0         10       2002   2 1451    3
 0.000000+0 0.000000+0          1          0          9          2   2 1451    4
                                                                     2 1451    5
 U-235 THERMAL FISSION -- NBS EVALUATION                             2 1451    6
----IRDF-2002         MATERIAL    2         REVISION T               2 1451    7
-----INCIDENT NEUTRON DATA                                           2 1451    8
------ENDF-6 FORMAT                                                  2 1451    9
 REF. J.GRUNDL AND C.EISENHAUER, NBS, PRIVATE COMMUNICATION          2 1451   10
 CONVERTED TO THE ENDF-6 FORMAT AT THE NUCLEAR DATA SECTION          2 1451   11
                                         IAEA, VIENNA, AUSTRIA       2 1451   12
                                                                     2 1451   13
                                1        451         15          0   2 1451   14
                                3        261        210          0   2 1451   15
 0.000000+0 0.000000+0          0          0          0          0   2 1  099999
 0.000000+0 0.000000+0          0          0          0          0   2 0  0    0
 2.000000+0 0.000000+0          0         99          0          0   2 3261    1
 0.000000+0 0.000000+0          0          0          1        621   2 3261    2
        621          1                                               2 3261    3
 1.000000-4 7.58848-12 1.050000-4 7.77139-12 1.100000-4 7.95007-12   2 3261    4
 1.150000-4 8.12479-12 1.200000-4 8.33810-12 1.275000-4 8.58704-12   2 3261    5
 1.350000-4 8.82897-12 1.425000-4 9.06446-12 1.500000-4 9.33167-12   2 3261    6
 1.600000-4 9.62799-12 1.700000-4 9.91547-12 1.800000-4 1.01948-11   2 3261    7
 1.900000-4 1.04667-11 2.000000-4 1.07317-11 2.100000-4 1.09904-11   2 3261    8
 2.200000-4 1.12430-11 2.300000-4 1.14902-11 2.400000-4 1.17920-11   2 3261    9
 2.550000-4 1.21438-11 2.700000-4 1.24299-11 2.800000-4 1.27641-11   2 3261   10
 3.000000-4 1.31971-11 3.200000-4 1.36161-11 3.400000-4 1.40225-11   2 3261   11
 3.600000-4 1.44177-11 3.800000-4 1.48023-11 4.000000-4 1.52231-11   2 3261   12
 4.250000-4 1.56777-11 4.500000-4 1.61195-11 4.750000-4 1.65494-11   2 3261   13
 5.000000-4 1.69684-11 5.250000-4 1.73772-11 5.500000-4 1.77769-11   2 3261   14
 5.750000-4 1.81676-11 6.000000-4 1.85880-11 6.300000-4 1.90359-11   2 3261   15
 6.600000-4 1.94736-11 6.900000-4 1.99016-11 7.200000-4 2.03896-11   2 3261   16
 7.600000-4 2.09336-11 8.000000-4 2.14635-11 8.400000-4 2.19808-11   2 3261   17
 8.800000-4 2.24863-11 9.200000-4 2.29804-11 9.600000-4 2.34643-11   2 3261   18
 1.000000-3 2.39970-11 1.050000-3 2.45753-11 1.100000-3 2.51404-11   2 3261   19
 1.150000-3 2.56930-11 1.200000-3 2.63673-11 1.275000-3 2.71547-11   2 3261   20
 1.350000-3 2.79197-11 1.425000-3 2.86645-11 1.500000-3 2.95093-11   2 3261   21
 1.600000-3 3.04464-11 1.700000-3 3.13554-11 1.800000-3 3.22389-11   2 3261   22
 1.900000-3 3.30988-11 2.000000-3 3.39368-11 2.100000-3 3.47546-11   2 3261   23
 2.200000-3 3.55538-11 2.300000-3 3.63352-11 2.400000-3 3.72891-11   2 3261   24
 2.550000-3 3.84025-11 2.700000-3 3.93062-11 2.800000-3 4.03639-11   2 3261   25
 3.000000-3 4.17325-11 3.200000-3 4.30577-11 3.400000-3 4.43433-11   2 3261   26
 3.600000-3 4.55927-11 3.800000-3 4.68094-11 4.000000-3 4.81397-11   2 3261   27
 4.250000-3 4.95774-11 4.500000-3 5.09742-11 4.750000-3 5.23338-11   2 3261   28
 5.000000-3 5.36586-11 5.250000-3 5.49518-11 5.500000-3 5.62162-11   2 3261   29
 5.750000-3 5.74510-11 6.000000-3 5.87801-11 6.300000-3 6.01968-11   2 3261   30
 6.600000-3 6.15815-11 6.900000-3 6.29344-11 7.200000-3 6.44780-11   2 3261   31
 7.600000-3 6.61977-11 8.000000-3 6.78737-11 8.400000-3 6.95089-11   2 3261   32
 8.800000-3 7.11078-11 9.200000-3 7.26708-11 9.600000-3 7.42008-11   2 3261   33
 1.000000-2 7.58848-11 1.050000-2 6.58236-11 1.100000-2 6.73373-11   2 3261   34
 1.150000-2 6.88170-11 1.200000-2 7.06236-11 1.275000-2 7.27325-11   2 3261   35
 1.350000-2 7.47813-11 1.425000-2 7.67762-11 1.500000-2 7.90392-11   2 3261   36
 1.600000-2 8.15493-11 1.700000-2 8.39838-11 1.800000-2 8.63504-11   2 3261   37
 1.900000-2 8.86532-11 2.000000-2 9.08982-11 2.100000-2 9.30885-11   2 3261   38
